Specific_ID,Card Type,Card_Name,Set_Name,Generation,Release_Date,Artist,Types,Supertype,Price £
009 Of 102,Uk Print,Magneton,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,6.45
009 Of 102,Shadowless,Magneton,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,3.95
009 Of 102,Unlimited,Magneton,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,0.95
010 Of 102,1St Edition,Mewtwo,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,49.95
010 Of 102,Uk Print,Mewtwo,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,14.95
010 Of 102,Played,Mewtwo,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,3.5
010 Of 102,Unlimited,Mewtwo,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,1.5
011 Of 102,Shadowless,Nidoking,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,99.99
011 Of 102,1St Edition,Nidoking,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,34.95
011 Of 102,Uk Print,Nidoking,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,9.95
011 Of 102,Unlimited,Nidoking,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,0.2
012 Of 102,1St Edition,Ninetales,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,29.95
012 Of 102,Uk Print,Ninetales,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,8.95
012 Of 102,Shadowless,Ninetales,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,2.95
012 Of 102,Unlimited,Ninetales,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,0.2
013 Of 102,1St Edition,Poliwrath,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,44.95
013 Of 102,Uk Print,Poliwrath,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,8.95
013 Of 102,Shadowless,Poliwrath,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,5.95
013 Of 102,Unlimited,Poliwrath,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,0.2
014 Of 102,1St Edition,Raichu,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,34.95
014 Of 102,Uk Print,Raichu,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,18.59
014 Of 102,Shadowless,Raichu,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,4.95
014 Of 102,Unlimited,Raichu,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,0.2
015 Of 102,1St Edition,Venusaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,69.95
015 Of 102,Uk Print,Venusaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,29.95
015 Of 102,Shadowless,Venusaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,9.95
015 Of 102,Unlimited,Venusaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,1.95
015 Of 102,Standard,Venusaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,19.75
016 Of 102,Shadowless,Zapdos,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,144.99
016 Of 102,1St Edition,Zapdos,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,34.95
016 Of 102,Uk Print,Zapdos,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,12.95
016 Of 102,Unlimited,Zapdos,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,0.95
017 Of 102,1St Edition,Beedrill,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,14.95
017 Of 102,Shadowless,Beedrill,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,2.95
017 Of 102,Uk Print,Beedrill,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,2.79
017 Of 102,Unlimited,Beedrill,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,0.5
018 Of 102,1St Edition,Dragonair,Base,First,1/9/1999,Mitsuhiro Arita,['Colorless'],Pokemon,11.95
018 Of 102,Uk Print,Dragonair,Base,First,1/9/1999,Mitsuhiro Arita,['Colorless'],Pokemon,3.95
018 Of 102,Shadowless,Dragonair,Base,First,1/9/1999,Mitsuhiro Arita,['Colorless'],Pokemon,2.5
018 Of 102,Unlimited,Dragonair,Base,First,1/9/1999,Mitsuhiro Arita,['Colorless'],Pokemon,1.5
019 Of 102,1St Edition,Dugtrio,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,7.95
019 Of 102,Uk Print,Dugtrio,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,3.69
019 Of 102,Shadowless,Dugtrio,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,2.95
019 Of 102,Unlimited,Dugtrio,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,0.95
019 Of 102,Standard,Dugtrio,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,1.85
020 Of 102,Uk Print,Electabuzz,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,9.29
020 Of 102,1St Edition,Electabuzz,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,5.95
020 Of 102,Shadowless,Electabuzz,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,2.95
020 Of 102,Unlimited,Electabuzz,Base,First,1/9/1999,Ken Sugimori,['Lightning'],Pokemon,1.5
021 Of 102,1St Edition,Electrode,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,14.95
021 Of 102,Shadowless,Electrode,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,2.5
021 Of 102,Uk Print,Electrode,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,2.45
021 Of 102,Unlimited,Electrode,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,1.5
022 Of 102,1St Edition,Pidgeotto,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,8.95
022 Of 102,Shadowless,Pidgeotto,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,8.95
022 Of 102,Uk Print,Pidgeotto,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,4.69
022 Of 102,Unlimited,Pidgeotto,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,1.5
023 Of 102,1St Edition,Arcanine,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,8.95
023 Of 102,Shadowless,Arcanine,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,8.95
023 Of 102,Uk Print,Arcanine,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,2.45
023 Of 102,Unlimited,Arcanine,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,0.75
024 Of 102,1St Edition,Charmeleon,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,8.95
024 Of 102,Shadowless,Charmeleon,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,8.95
024 Of 102,Uk Print,Charmeleon,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,1.89
024 Of 102,Unlimited,Charmeleon,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,0.75
025 Of 102,1St Edition,Dewgong,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,4.95
025 Of 102,Shadowless,Dewgong,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,4.95
025 Of 102,Uk Print,Dewgong,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,0.85
025 Of 102,Unlimited,Dewgong,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,0.5
026 Of 102,Shadowless,Dratini,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,5.99
026 Of 102,1St Edition,Dratini,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,3.95
026 Of 102,Uk Print,Dratini,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.85
026 Of 102,Unlimited,Dratini,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.5
027 Of 102,1St Edition,Farfetch'D,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,3.95
027 Of 102,Shadowless,Farfetch'D,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,3.95
027 Of 102,Uk Print,Farfetch'D,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.95
027 Of 102,Unlimited,Farfetch'D,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.3
028 Of 102,1St Edition,Growlithe,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,3.95
028 Of 102,Shadowless,Growlithe,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,3.95
028 Of 102,Uk Print,Growlithe,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,0.95
028 Of 102,Unlimited,Growlithe,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,0.5
029 Of 102,1St Edition,Haunter,Base,First,1/9/1999,Keiji Kinebuchi,['Psychic'],Pokemon,3.95
029 Of 102,Shadowless,Haunter,Base,First,1/9/1999,Keiji Kinebuchi,['Psychic'],Pokemon,3.95
029 Of 102,Uk Print,Haunter,Base,First,1/9/1999,Keiji Kinebuchi,['Psychic'],Pokemon,1.75
029 Of 102,Unlimited,Haunter,Base,First,1/9/1999,Keiji Kinebuchi,['Psychic'],Pokemon,0.5
030 Of 102,1St Edition,Ivysaur,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,5.95
030 Of 102,Shadowless,Ivysaur,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,5.95
030 Of 102,Uk Print,Ivysaur,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,2.39
030 Of 102,Unlimited,Ivysaur,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,0.5
031 Of 102,1St Edition,Jynx,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,3.5
031 Of 102,Shadowless,Jynx,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,3.5
031 Of 102,Uk Print,Jynx,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,0.95
031 Of 102,Unlimited,Jynx,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,0.5
032 Of 102,Shadowless,Kadabra,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,4.95
032 Of 102,1St Edition,Kadabra,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,3.5
032 Of 102,Uk Print,Kadabra,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,0.95
032 Of 102,Unlimited,Kadabra,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,0.5
033 Of 102,1St Edition,Kakuna,Base,First,1/9/1999,Keiji Kinebuchi,['Grass'],Pokemon,3.5
033 Of 102,Shadowless,Kakuna,Base,First,1/9/1999,Keiji Kinebuchi,['Grass'],Pokemon,3.5
033 Of 102,Uk Print,Kakuna,Base,First,1/9/1999,Keiji Kinebuchi,['Grass'],Pokemon,0.95
033 Of 102,Unlimited,Kakuna,Base,First,1/9/1999,Keiji Kinebuchi,['Grass'],Pokemon,0.3
034 Of 102,Shadowless,Machoke,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,3.5
034 Of 102,1St Edition,Machoke,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,2.95
034 Of 102,Unlimited,Machoke,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,0.5
034 Of 102,Uk Print,Machoke,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,0.39
035 Of 102,Shadowless,Magikarp,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,9.99
035 Of 102,1St Edition,Magikarp,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,3.5
035 Of 102,Uk Print,Magikarp,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,0.65
035 Of 102,Unlimited,Magikarp,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,0.3
036 Of 102,Shadowless,Magmar,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,3.99
036 Of 102,1St Edition,Magmar,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,2.95
036 Of 102,Uk Print,Magmar,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,0.95
036 Of 102,Unlimited,Magmar,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,0.5
037 Of 102,1St Edition,Nidorino,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,3.95
037 Of 102,Shadowless,Nidorino,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,3.95
037 Of 102,Uk Print,Nidorino,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,0.75
037 Of 102,Unlimited,Nidorino,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,0.5
038 Of 102,1St Edition,Poliwhirl,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,3.5
038 Of 102,Shadowless,Poliwhirl,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,3.5
038 Of 102,Uk Print,Poliwhirl,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,0.75
038 Of 102,Unlimited,Poliwhirl,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,0.5
039 Of 102,1St Edition,Porygon,Base,First,1/9/1999,Tomoaki Imakuni,['Colorless'],Pokemon,3.95
039 Of 102,Shadowless,Porygon,Base,First,1/9/1999,Tomoaki Imakuni,['Colorless'],Pokemon,3.95
039 Of 102,Uk Print,Porygon,Base,First,1/9/1999,Tomoaki Imakuni,['Colorless'],Pokemon,0.75
039 Of 102,Unlimited,Porygon,Base,First,1/9/1999,Tomoaki Imakuni,['Colorless'],Pokemon,0.3
040 Of 102,1St Edition,Raticate,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,3.5
040 Of 102,Shadowless,Raticate,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,3.5
040 Of 102,Uk Print,Raticate,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.85
040 Of 102,Unlimited,Raticate,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.5
041 Of 102,1St Edition,Seel,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,3.95
041 Of 102,Shadowless,Seel,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,3.95
041 Of 102,Uk Print,Seel,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,0.95
041 Of 102,Unlimited,Seel,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,0.3
042 Of 102,1St Edition,Wartortle,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,3.95
042 Of 102,Shadowless,Wartortle,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,3.95
042 Of 102,Uk Print,Wartortle,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,1.85
042 Of 102,Unlimited,Wartortle,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,0.3
043 Of 102,Shadowless,Abra,Base,First,1/9/1999,Mitsuhiro Arita,['Psychic'],Pokemon,14.99
043 Of 102,1St Edition,Abra,Base,First,1/9/1999,Mitsuhiro Arita,['Psychic'],Pokemon,2.95
043 Of 102,Uk Print,Abra,Base,First,1/9/1999,Mitsuhiro Arita,['Psychic'],Pokemon,0.95
043 Of 102,Unlimited,Abra,Base,First,1/9/1999,Mitsuhiro Arita,['Psychic'],Pokemon,0.1
044 Of 102,1St Edition,Bulbasaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,2.95
044 Of 102,Shadowless,Bulbasaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,2.95
044 Of 102,Uk Print,Bulbasaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,0.95
044 Of 102,Unlimited,Bulbasaur,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,0.2
045 Of 102,1St Edition,Caterpie,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,2.5
045 Of 102,Shadowless,Caterpie,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,2.5
045 Of 102,Uk Print,Caterpie,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,0.55
045 Of 102,Unlimited,Caterpie,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,0.1
046 Of 102,Shadowless,Charmander,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,12.99
046 Of 102,1St Edition,Charmander,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,2.95
046 Of 102,Uk Print,Charmander,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,0.89
046 Of 102,Unlimited,Charmander,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,0.2
047 Of 102,Shadowless,Diglett,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,4.49
047 Of 102,1St Edition,Diglett,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,3.5
047 Of 102,Uk Print,Diglett,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,0.29
047 Of 102,Unlimited,Diglett,Base,First,1/9/1999,Keiji Kinebuchi,['Fighting'],Pokemon,0.1
048 Of 102,1St Edition,Doduo,Base,First,1/9/1999,Mitsuhiro Arita,['Colorless'],Pokemon,2.95
048 Of 102,Shadowless,Doduo,Base,First,1/9/1999,Mitsuhiro Arita,['Colorless'],Pokemon,2.95
048 Of 102,Uk Print,Doduo,Base,First,1/9/1999,Mitsuhiro Arita,['Colorless'],Pokemon,0.39
048 Of 102,Unlimited,Doduo,Base,First,1/9/1999,Mitsuhiro Arita,['Colorless'],Pokemon,0.1
049 Of 102,Shadowless,Drowzee,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,9.99
049 Of 102,1St Edition,Drowzee,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,2.5
049 Of 102,Uk Print,Drowzee,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,0.59
049 Of 102,Unlimited,Drowzee,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,0.1
050 Of 102,1St Edition,Gastly,Base,First,1/9/1999,Keiji Kinebuchi,['Psychic'],Pokemon,2.95
050 Of 102,Shadowless,Gastly,Base,First,1/9/1999,Keiji Kinebuchi,['Psychic'],Pokemon,2.95
050 Of 102,Uk Print,Gastly,Base,First,1/9/1999,Keiji Kinebuchi,['Psychic'],Pokemon,0.59
050 Of 102,Unlimited,Gastly,Base,First,1/9/1999,Keiji Kinebuchi,['Psychic'],Pokemon,0.1
051 Of 102,Shadowless,Koffing,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,4.99
051 Of 102,1St Edition,Koffing,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,1.95
051 Of 102,Uk Print,Koffing,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,0.39
051 Of 102,Unlimited,Koffing,Base,First,1/9/1999,Mitsuhiro Arita,['Grass'],Pokemon,0.1
052 Of 102,Shadowless,Machop,Base,First,1/9/1999,Mitsuhiro Arita,['Fighting'],Pokemon,2.5
052 Of 102,1St Edition,Machop,Base,First,1/9/1999,Mitsuhiro Arita,['Fighting'],Pokemon,2.5
052 Of 102,Uk Print,Machop,Base,First,1/9/1999,Mitsuhiro Arita,['Fighting'],Pokemon,0.15
052 Of 102,Unlimited,Machop,Base,First,1/9/1999,Mitsuhiro Arita,['Fighting'],Pokemon,0.1
053 Of 102,Shadowless,Magnemite,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,4.99
053 Of 102,1St Edition,Magnemite,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,2.95
053 Of 102,Uk Print,Magnemite,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,0.29
053 Of 102,Unlimited,Magnemite,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,0.1
054 Of 102,Shadowless,Metapod,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,4.99
054 Of 102,1St Edition,Metapod,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,2.95
054 Of 102,Uk Print,Metapod,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,0.39
054 Of 102,Unlimited,Metapod,Base,First,1/9/1999,Ken Sugimori,['Grass'],Pokemon,0.1
056 Of 102,Shadowless,Onix,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,9.99
056 Of 102,1St Edition,Onix,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,2.5
056 Of 102,Uk Print,Onix,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,0.29
056 Of 102,Unlimited,Onix,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,0.1
057 Of 102,Shadowless,Pidgey,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,4.99
057 Of 102,1St Edition,Pidgey,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,2.5
057 Of 102,Uk Print,Pidgey,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.65
057 Of 102,Unlimited,Pidgey,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.1
058 Of 102,Red Cheeks,Pikachu,Base,First,1/9/1999,Mitsuhiro Arita,['Lightning'],Pokemon,13.95
058 Of 102,Red Cheeks,Pikachu,Base,First,1/9/1999,Mitsuhiro Arita,['Lightning'],Pokemon,9.95
058 Of 102,Yellow Cheeks,Pikachu,Base,First,1/9/1999,Mitsuhiro Arita,['Lightning'],Pokemon,3.95
058 Of 102,Yellow Cheeks,Pikachu,Base,First,1/9/1999,Mitsuhiro Arita,['Lightning'],Pokemon,3.95
058 Of 102,Yellow Cheeks,Pikachu,Base,First,1/9/1999,Mitsuhiro Arita,['Lightning'],Pokemon,1.39
058 Of 102,Yellow Cheeks,Pikachu,Base,First,1/9/1999,Mitsuhiro Arita,['Lightning'],Pokemon,0.1
059 Of 102,Shadowless,Poliwag,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,6.99
059 Of 102,1St Edition,Poliwag,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,2.5
059 Of 102,Uk Print,Poliwag,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,0.39
059 Of 102,Unlimited,Poliwag,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,0.1
060 Of 102,Shadowless,Ponyta,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,2.5
060 Of 102,1St Edition,Ponyta,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,2.5
060 Of 102,Uk Print,Ponyta,Base,First,1/9/1999,Ken Sugimori,['Fire'],Pokemon,0.25
